isbn_13,price_id,isbn_10,name,book_id,author,image,site_id,price
9781451659160,5d1beb26-226b-430e-96eb-148b816ee004,,The Oregon Trail: A New American Journey,88dec10c-d3ca-4ae0-9b39-187819cf705a,Rinker Buck,http://www2.alibris-static.com/the-oregon-trail-a-new-american-journey/isbn/9781451659177_l.jpg,3,$0.99
9780143107002,15b1aefe-8b3c-4a94-abeb-b66e6ead497d,,Travels with Charley: In Search of America,dc04a071-9cdf-4c89-904f-cc3a6278d20b,John Steinbeck,http://www1.alibris-static.com/travels-with-charley-in-search-of-america/isbn/9780143107002_l.jpg,3,$0.99
9781250038821,c1933776-5202-4c54-a313-4cadb0697223,,Humans of New York,ed64fef0-728a-480d-a764-acc9252129b7,Brandon Stanton,http://www0.alibris-static.com/humans-of-new-york/isbn/9781447294252_l.jpg,3,$2.00
9781101905494,daee8518-6500-4e3f-b55c-6004570cb884,,A Walk in the Woods: Rediscovering America on the Appalachian Trail,947908c3-c9c2-4f4a-a1b8-9dfbb26db6da,Bill Bryson,http://www1.alibris-static.com/a-walk-in-the-woods-rediscovering-america-on-the-appalachian-trail/isbn/9781101905494_l.jpg,3,$0.99
9780330453677,64569e92-30b7-4fde-9d18-a404555d8284,,Into the Wild,bcc189a7-33e3-4a97-9434-58e6ccfcc39e,Jon Krakauer,http://www4.alibris-static.com/into-the-wild-movie-tie-in-edition/isbn/9780307387172_l.jpg,3,$0.99
9780307279187,9ab1419c-9349-4ff6-939a-d1cb0b7caf60,,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",93df0ba5-874e-4708-8599-435d24e0fe98,Christopher McDougall,http://www1.alibris-static.com/born-to-run-a-hidden-tribe-superathletes-and-the-greatest-race-the-world-has-never-seen/isbn/9780307279187_l.jpg,3,$0.99
9780761169086,c95f5509-eeb5-42f5-95d2-e23c1ed31a86,,Atlas Obscura,f7a7f363-9375-4cc1-a23c-ff8e5e23895a,"Joshua Foer, Dylan Thuyas, Ella Morton",http://www4.alibris-static.com/atlas-obscura/isbn/9780761169086_l.jpg,3,$12.99
9780761188759,3f7ba79c-22d9-4b3d-98e5-4d5807927b65,,"1,000 Places to See Before You Die",8262f35c-c1c4-4f00-9d58-dc45e440d41e,Patricia Schultz,http://www0.alibris-static.com/1-000-places-to-see-before-you-die/isbn/9780761163374_l.jpg,3,$0.99
9781101946343,beedc0ad-8cff-4c18-97a6-00f493c0151d,,Grey: Fifty Shades of Grey as Told by Christian,553dc4f6-70b4-4f0d-b707-2535cdb842a6,E L James,http://www2.alibris-static.com/grey-fifty-shades-of-grey-as-told-by-christian/isbn/9781101946343_l.jpg,3,$0.99
9780440221661,cea25c82-af11-464b-b80d-f0b216406a60,,The Fiery Cross,b995f3bc-8d26-4509-8cd1-8ea6e390663e,Diana Gabaldon,http://www0.alibris-static.com/the-fiery-cross/isbn/9781784751333_l.jpg,3,$0.99
9780345803481,45694330-77d7-45fe-be03-a4c327a7d1e5,,Fifty Shades of Grey,40e22f20-f38b-4656-acd3-20c774edf456,E L James,http://www4.alibris-static.com/fifty-shades-of-grey/isbn/9781784750251_l.jpg,3,$0.99
9780345803498,19e1d844-702b-419b-ba04-bf2f05ac7c61,,Fifty Shades Darker,47094372-3066-4e2f-8190-00aa16222e68,E L James,http://www0.alibris-static.com/fifty-shades-darker/isbn/9780525431886_l.jpg,3,$0.99
9780553386882,87c51519-0ca4-4b01-b578-d51a00c542d4,,Written in My Own Heart's Blood,eaa3bec2-53d1-44da-8249-fcba525a6682,Diana Gabaldon,http://www3.alibris-static.com/written-in-my-own-hearts-blood/isbn/9781101884249_l.jpg,3,$2.84
9782264062208,c8ac6458-b679-48da-9468-83f2fbaf9d8d,,Wild: From Lost to Found on the Pacific Crest Trail,58ad4a06-ee76-44a0-97a0-1ae32fe9f87f,Cheryl Strayed,http://www0.alibris-static.com/wild-from-lost-to-found-on-the-pacific-crest-trail/isbn/9781101873441_l.jpg,3,$0.99
9780553418798,a398579e-3d3b-497f-93a2-1293e337b11b,,The Little Paris Bookshop,3b679bda-da71-418e-8ae9-502473832c47,Nina George,http://www0.alibris-static.com/the-little-paris-bookshop/isbn/9780553418798_l.jpg,3,$0.99
9781476729091,e29ffb57-ce93-4012-8afa-e8749205941c,,The Rosie Project,8ae8f062-7cf8-45ce-89b0-8497ce35da01,Graeme Simsion,http://www2.alibris-static.com/the-rosie-project/isbn/9781476729091_l.jpg,3,$0.99
9780553393699,d6fda9c1-b3fb-49cf-ad85-87c020b0ae16,,Outlander,402412f0-7faf-4f04-923f-fefef68bec62,Diana Gabaldon,http://www3.alibris-static.com/outlander/isbn/9781784751371_l.jpg,3,$0.99
9780440215622,9a1f0b05-67dd-48fa-af2b-b1d8d4454973,,Dragonfly in Amber,30b178e4-525d-4053-9d8b-154f0a77bdf8,Diana Gabaldon,http://www4.alibris-static.com/dragonfly-in-amber/isbn/9780399177699_l.jpg,3,$0.99
9780525478812,5de1be16-f83e-43ac-a8d2-a2056a7ee4dc,,The Fault in Our Stars,152d51c5-2911-4358-8297-2d2f0d7f24e9,John Green,http://www4.alibris-static.com/the-fault-in-our-stars/isbn/9780141364247_l.jpg,3,$0.99
9780451531353,e0bff835-3f2a-45ad-9d0b-e276da0f7bcb,,The Scarlet Letter,5b5aad3e-a487-41f8-824f-d866edb452bf,Nathaniel Hawthorne,http://www4.alibris-static.com/the-scarlet-letter/isbn/9781542384667_l.jpg,3,$0.99
9780192815439,7fbb76d0-9590-4d34-9176-66480b71df77,,Wuthering Heights,29a3ed06-117d-44d2-bf8a-a7867d30f247,Emily Bronte,http://www4.alibris-static.com/wuthering-heights/isbn/9781509827800_l.jpg,3,$0.99
9780141014593,524eda43-4eec-419b-9e49-ce89160cc349,,Blink: The Power of Thinking Without Thinking,b01c7379-49dd-4814-9e3e-09045e3a330c,Malcolm Gladwell,http://www3.alibris-static.com/blink-the-power-of-thinking-without-thinking/isbn/9780316010665_l.jpg,3,$0.99
9780062457714,c1bdb4ee-47a4-4550-8a7f-81ebec1f1ef7,,The Subtle Art of Not Giving A F*Ck: A Counterintuitive Approach to Living a Good Life,58db6386-5b43-4760-a8cd-795f476bd0cc,Mark Manson,http://www0.alibris-static.com/the-subtle-art-of-not-giving-a-f-ck-a-counterintuitive-approach-to-living-a-good-life/isbn/9780062457714_l.jpg,3,$9.41
9781593082017,31831d6a-8ff0-4762-b040-7d4d733c4fc2,,Pride and Prejudice,78d1b1b0-4a96-47e1-86e1-9b4f92a01c40,Jane Austen,http://www2.alibris-static.com/pride-and-prejudice/isbn/9781781397749_l.jpg,3,$0.99
9780525494188,792ba73e-0436-4461-8fd2-d2dceb28a079,,South and West: From a Notebook,c6b5c9e0-b711-4d92-9380-a2fd4147f09f,Joan Didion,http://www2.alibris-static.com/south-and-west-from-a-notebook/isbn/9781524732790_l.jpg,3,$9.31
9781582701707,5f62f061-c7d2-4d75-8b2f-608249f588b4,,The Secret,216b82d2-1848-488d-b642-cdc667e84ab4,Rhonda Byrne,http://www4.alibris-static.com/the-secret/isbn/9781582701707_l.jpg,3,$0.99
9780241257401,812ea9c8-2bf1-4a91-b022-9ca5289ac86c,,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",59c63efa-4172-4aae-984f-a4978f50fdcd,"Brene Brown, PH.D., L.M.S.W.",http://www4.alibris-static.com/daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead/isbn/9781592408412_l.jpg,3,$1.48
9781561706280,c98fa39b-6748-4210-a0d3-bb6d78a8de2d,,You Can Heal Your Life,40ade2f9-46fc-4f7c-9a47-741dd10a6014,Louise L. Hay,http://www1.alibris-static.com/you-can-heal-your-life/isbn/9788190565585_l.jpg,3,$0.99
9781501111105,4ec2b89c-a042-4bb6-a180-eb07cdeaa3ca,,Grit: The Power of Passion and Perseverance,0e75ab70-2c05-478a-b2ef-98b9e468fb81,Angela Duckworth,http://www3.alibris-static.com/grit-the-power-of-passion-and-perseverance/isbn/9781501111105_l.jpg,3,$4.00
9781328683786,d6846dc3-8468-4c3e-bf79-ed52d353e827,,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",9afb19a1-74b4-4774-8bb8-6b466a305182,Timothy Ferriss,http://www3.alibris-static.com/tools-of-titans-the-tactics-routines-and-habits-of-billionaires-icons-and-world-class-performers/isbn/9781328683786_l.jpg,3,$11.52
9780099584575,541cc384-8979-4210-a1b2-34fe28464ead,,The Gene: An Intimate History,6d8b33e0-11c5-4cf5-82ba-eab5ca7f6d86,Siddhartha Mukherjee,http://www4.alibris-static.com/the-gene-an-intimate-history/isbn/9780099584575_l.jpg,3,$8.34
9780812987119,7867b67a-9ad1-42bc-add4-cffb6445877e,,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",e3b7ec11-fefb-4bd0-b01f-9a9ed6a54db1,Laura Hillenbrand,http://www1.alibris-static.com/unbroken-a-world-war-ii-story-of-survival-resilience-and-redemption/isbn/9780812974492_l.jpg,3,$0.99
9781784703936,afdb2a09-4241-4143-a40c-040015c5630e,,Homo Deus: A Brief History of Tomorrow,94e058b7-2489-45fc-9cd1-498b564a2930,Yuval Noah Harari,http://www4.alibris-static.com/homo-deus-a-brief-history-of-tomorrow/isbn/9780062464316_l.jpg,3,$8.15
9781250135995,3f8c7302-4095-427c-a4d7-818d51a2ff39,,Tears We Cannot Stop: A Sermon to White America,4f291309-da13-48dd-97c4-7c2062af6a5d,Michael Eric Dyson,http://www3.alibris-static.com/tears-we-cannot-stop-a-sermon-to-white-america/isbn/9781250135995_l.jpg,3,$7.24
9781684112876,d110f342-9a5c-4639-87cc-f59cb8ecfd70,,The Prince,951d4d66-35e1-416c-bc03-e161c44e2d73,Niccolo Machiavelli,http://www3.alibris-static.com/the-prince/isbn/9781680920475_l.jpg,3,$0.99
9780393354324,4507926b-0a97-4624-a2ce-d785e84b45c6,,"Guns, Germs, and Steel: The Fates of Human Societies",251f5e7a-003b-4caf-9143-06175250e7a3,Jared Diamond,http://www4.alibris-static.com/guns-germs-and-steel-the-fates-of-human-societies/isbn/9780393354324_l.jpg,3,$0.99
9781945644832,83994238-a2ff-49e0-8220-8e6c523bc235,,The Art Of War,485637a9-ac03-4482-b91a-6f2f4ac87bbb,Sun Tzu,http://www4.alibris-static.com/the-art-of-war/isbn/9781945644832_l.jpg,3,$0.99
